사업장명,사업장도로명상세주소,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장업종코드,사업장업종코드명,가입자수,당월고지금액,신규취득자수,상실가입자수
(주)한국인프라,서울특별시 강남구 삼성로,11,680,106,723000,자료 처리업,71,25962920,0,0
(주)한양정보기술,서울특별시 송파구 송파대로,11,710,108,722000,응용 소프트웨어 개발 및 공급업,3,1101960,0,0
(주)화이트코드,서울특별시 구로구 디지털로26길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,6,2196060,0,0
주식회사 미래손,서울특별시 금천구 서부샛길,11,545,101,722000,응용 소프트웨어 개발 및 공급업,11,4156160,0,0
양재아이티(주),서울특별시 금천구 가산디지털2로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,45,15020940,2,1
（주）한메소프트,서울특별시 관악구 남부순환로,11,620,101,722000,응용 소프트웨어 개발 및 공급업,4,955960,0,0
(주)엔씨비,경기도 부천시 오정구 산업로7번길,41,196,101,722000,응용 소프트웨어 개발 및 공급업,15,5971320,0,0
(주)누림소프트,대전광역시 대덕구 대화로,30,230,102,722000,응용 소프트웨어 개발 및 공급업,67,21279380,2,1
(주)데이터월드,대전광역시 서구 둔산로,30,170,112,722000,응용 소프트웨어 개발 및 공급업,51,19090240,1,0
(주)선한아이디,경기도 성남시 수정구 위례서일로,41,131,108,722000,응용 소프트웨어 개발 및 공급업,12,3961800,0,1
(주)카이런소프트,대전광역시 유성구 테크노3로,30,200,146,722000,응용 소프트웨어 개발 및 공급업,4,1038760,1,0
(주)조아라,서울특별시 금천구 가산디지털1로,11,545,101,724000,데이터베이스 및 온라인 정보 제공업,44,13131420,0,2
주식회사수안코퍼레이션,서울특별시 강남구 언주로,11,680,108,722000,응용 소프트웨어 개발 및 공급업,3,636740,0,0
주식회사 유오케이,광주광역시 북구 첨단과기로,29,170,141,722000,응용 소프트웨어 개발 및 공급업,15,5266720,0,0
(주)엔에스피뉴스통신사,서울특별시 영등포구 국회대로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,8,1992100,0,0
윤디스크주식회사,서울특별시 금천구 가산디지털1로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,9,2668080,1,0
주식회사 이맥스아이씨티,부산광역시 동래구 중앙대로,26,260,108,722000,응용 소프트웨어 개발 및 공급업,9,2672800,0,0
(주)네오리진,서울특별시 강남구 학동로,11,680,108,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,10,3398640,0,1
로우코리아(주),경기도 평택시 고덕여염로,41,220,128,722000,응용 소프트웨어 개발 및 공급업,28,7950040,0,0
예스스탁(주),서울특별시 강남구 강남대로66길,11,680,101,722000,응용 소프트웨어 개발 및 공급업,16,6064920,0,0
(주)코테크시스템,서울특별시 중구 다산로19길,11,140,162,722000,응용 소프트웨어 개발 및 공급업,45,15052500,0,0
(주)융시스템,서울특별시 서초구 효령로,11,650,101,722000,응용 소프트웨어 개발 및 공급업,12,3749820,1,0
